"season","week","team","SIC"
2021,9,"NO",82.3
2021,9,"NYG",63.9
2021,9,"PHI",84.2
2021,9,"MIA",86.5
2021,9,"KC",89.2
2021,9,"SF",75
2021,9,"LA",84.4
2021,9,"PIT",84.8
2021,10,"MIA",85
2021,10,"IND",84.8
2021,10,"NE",82
2021,10,"DAL",82.2
2021,10,"NYJ",72.1
2021,10,"TEN",71.9
2021,10,"WAS",69.5
2021,10,"PIT",83.7
2021,10,"LAC",83.5
2021,10,"ARI",83.6
2021,10,"GB",77.1
2021,10,"DEN",60.4
2021,10,"LV",82.7
2021,10,"SF",75.1
2021,11,"ATL",85.3
2021,11,"MIN",84.3
2021,11,"TEN",68.7
2021,11,"PHI",85.1
2021,11,"CHI",78.9
2021,11,"CAR",82.3
2021,11,"NYJ",73.7
2021,11,"BUF",86
2021,11,"JAX",87.2
2021,11,"CLE",86.7
2021,11,"LV",83.2
2021,11,"KC",89.9
2021,11,"SEA",82
2021,11,"LAC",87.2
2021,11,"TB",86.7
2021,12,"DET",68.7
2021,12,"DAL",79.4
2021,12,"NO",64.7
2021,12,"CIN",85.7
2021,12,"MIA",87.2
2021,12,"JAX",85.4
2021,12,"IND",87.6
2021,12,"NYG",76
2021,12,"HOU",80.9
2021,12,"NE",89.1
2021,12,"DEN",60.7
2021,12,"SF",82
2021,12,"GB",79.1
2021,12,"BAL",71.9
2021,12,"WAS",65.7
2021,13,"NO",73.4
2021,13,"MIA",88.9
2021,13,"CIN",84.1
2021,13,"NYJ",69.7
2021,13,"HOU",78.3
2021,13,"ATL",84.1
2021,13,"CHI",77.9
2021,13,"DET",72.7
2021,13,"LA",81.2
2021,13,"LV",81.2
2021,13,"SEA",82.3
2021,13,"PIT",79.6
2021,13,"KC",90.1
2021,13,"BUF",87.5
2021,14,"MIN",78.4
2021,14,"HOU",69.6
2021,14,"WAS",69.3
2021,14,"CAR",69.3
2021,14,"CLE",88.4
2021,14,"TEN",63.9
2021,14,"NYJ",60.1
2021,14,"KC",91.4
2021,14,"LAC",84.1
2021,14,"DEN",82.1
2021,14,"CIN",79.8
2021,14,"TB",87.2
2021,14,"GB",81.1
2021,14,"ARI",88.3
2021,15,"LAC",78.3
2021,15,"IND",86.6
2021,15,"JAX",87.3
2021,15,"PIT",80.7
2021,15,"MIA",88.2
2021,15,"DET",59.2
2021,15,"NYG",63.8
2021,15,"BUF",85.4
2021,15,"DEN",80.9
2021,15,"SF",70.3
2021,15,"BAL",69.2
2021,15,"TB",86.1
2021,15,"LA",78.1
2021,15,"CLE",67
2021,15,"CHI",75.8
2021,15,"PHI",85.2
2021,16,"TEN",70.4
2021,16,"GB",78.8
2021,16,"ARI",84
2021,16,"NE",85
2021,16,"MIN",81.1
2021,16,"NYJ",68
2021,16,"ATL",88.3
2021,16,"CIN",82.3
2021,16,"PHI",88.1
2021,16,"HOU",42
2021,16,"CAR",68.2
2021,16,"SEA",75.7
2021,16,"KC",85.3
2021,16,"LV",79.7
2021,16,"DAL",89.2
2021,16,"NO",69.5
2021,17,"BAL",71.7
2021,17,"TEN",81
2021,17,"NE",89.6
2021,17,"CIN",81.3
2021,17,"WAS",62.5
2021,17,"BUF",87.5
2021,17,"NYJ",75.3
2021,17,"CHI",83.4
2021,17,"IND",87
2021,17,"SF",72.3
2021,17,"LAC",85.6
2021,17,"DAL",90.3
2021,17,"SEA",81.1
2021,17,"NO",81.6
2021,17,"GB",78.9
2021,17,"PIT",77.6
2021,18,"DEN",70.1
2021,18,"PHI",63.9
2021,18,"DET",69.8
2021,18,"CLE",78.3
2021,18,"BAL",72.7
2021,18,"NYG",65.9
2021,18,"HOU",80.9
2021,18,"JAX",69.9
2021,18,"MIN",79.4
2021,18,"LA",85.3
2021,18,"ARI",82.2
2021,18,"ATL",86.6
2021,18,"TB",69.8
2021,18,"BUF",86.9
2021,18,"MIA",91.2
2021,18,"LV",81.6
2021,19,"CIN",85.9
2021,19,"BUF",88.2
2021,19,"TB",77.6
2021,19,"DAL",89.4
2021,19,"KC",88.3
2021,19,"LA",82.3
2021,20,"TEN",88.7
2021,20,"GB",87.4
2021,20,"TB",79.5
2021,20,"KC",89
2021,21,"KC",90.7
2021,21,"LA",86.5
2021,22,"CIN",83.1
2022,1,"BUF",87.9
2022,1,"NO",86.6
2022,1,"PHI",91.8
2022,1,"JAX",91
2022,1,"BAL",81.6
2022,1,"PIT",89.1
2022,1,"NE",91.5
2022,1,"SF",89.4
2022,1,"IND",91.2
2022,1,"CLE",89.5
2022,1,"LV",91
2022,1,"NYG",84.1
2022,1,"KC",93.6
2022,1,"GB",88.8
2022,1,"TB",89
2022,1,"DEN",90.8
2022,2,"LAC",91
2022,2,"MIA",86.2
2022,2,"TB",81.6
2022,2,"WAS",86.6
2022,2,"CAR",93.6
2022,2,"NYJ",87.3
2022,2,"IND",90.3
2022,2,"NE",91.8
2022,2,"SEA",88.8
2022,2,"ATL",91.5
2022,2,"HOU",87.5
2022,2,"ARI",88
2022,2,"CIN",92.8
2022,2,"CHI",88.6
2022,2,"TEN",88.2
2022,2,"MIN",92.7
2022,3,"PIT",86
2022,3,"HOU",87.5
2022,3,"BUF",83.4
2022,3,"PHI",90.6
2022,3,"KC",92.7
2022,3,"NO",84.4
2022,3,"BAL",77.8
2022,3,"DET",83.2
2022,3,"CIN",89.8
2022,3,"LV",81.1
2022,3,"JAX",91
2022,3,"LA",87.2
2022,3,"ATL",91.1
2022,3,"GB",89.7
2022,3,"SF",86.3
2022,3,"DAL",79.8
2022,4,"MIA",84.2
2022,4,"MIN",91.1
2022,4,"CHI",85.7
2022,4,"CLE",76.8
2022,4,"TEN",86
2022,4,"WAS",84.9
2022,4,"JAX",91.8
2022,4,"SEA",87.9
2022,4,"BUF",82.2
2022,4,"LAC",83.5
2022,4,"NYJ",83.1
2022,4,"ARI",85
2022,4,"NE",88.7
2022,4,"DEN",85.3
2022,4,"KC",91.4
2022,4,"LA",86.3
2022,5,"IND",85.3
2022,5,"NYG",79.5
2022,5,"SEA",88.5
2022,5,"LAC",84.7
2022,5,"TEN",79.8
2022,5,"ATL",86.4
2022,5,"HOU",86.5
2022,5,"CHI",84.9
2022,5,"DET",77.6
2022,5,"MIA",81
2022,5,"PIT",79.2
2022,5,"SF",82.3
2022,5,"DAL",84.3
2022,5,"PHI",88.2
2022,5,"CIN",90.3
2022,5,"LV",87.4
2022,6,"WAS",81.9
2022,6,"MIN",92.7
2022,6,"JAX",86.6
2022,6,"SF",73.4
2022,6,"BAL",73.8
2022,6,"NE",85
2022,6,"CIN",89.4
2022,6,"TB",84.8
2022,6,"NYJ",86
2022,6,"CAR",85.2
2022,6,"ARI",82.9
2022,6,"BUF",89
2022,6,"DAL",83.7
2022,6,"DEN",75
2022,7,"NO",84.6
2022,7,"IND",87.6
2022,7,"NYG",82.8
2022,7,"ATL",82.3
2022,7,"TB",84.2
2022,7,"DET",83.9
2022,7,"CLE",83.6
2022,7,"GB",89.4
2022,7,"NYJ",90.6
2022,7,"HOU",84.9
2022,7,"KC",89.5
2022,7,"SEA",85
2022,7,"PIT",85.6
2022,7,"CHI",90
2022,8,"BAL",69.9
2022,8,"DEN",76.2
2022,8,"CHI",85
2022,8,"ARI",81.6
2022,8,"PIT",84.5
2022,8,"CAR",84
2022,8,"LV",86
2022,8,"MIA",82.6
2022,8,"NE",88.6
2022,8,"TEN",84.2
2022,8,"SF",75.1
2022,8,"WAS",78.3
2022,8,"NYG",79.5
2022,8,"GB",87.2
2022,8,"CIN",86.9
2022,9,"PHI",90.9
2022,9,"LAC",83.7
2022,9,"IND",84
2022,9,"MIN",89.8
2022,9,"CAR",85.8
2022,9,"LV",87.8
2022,9,"MIA",83.9
2022,9,"BUF",87.7
2022,9,"GB",87.7
2022,9,"SEA",86.7
2022,9,"LA",83.2
2022,9,"TEN",83.9
2022,9,"BAL",73.7
2022,10,"ATL",86.9
2022,10,"SEA",88.2
2022,10,"DEN",75.1
2022,10,"MIN",90.3
2022,10,"CLE",83.1
2022,10,"HOU",81.4
2022,10,"JAX",90.7
2022,10,"NO",82.9
2022,10,"DET",77.4
2022,10,"DAL",85.7
2022,10,"IND",83.1
2022,10,"ARI",76.4
2022,10,"LAC",79
2022,10,"WAS",77.6
2022,11,"TEN",77.5
2022,11,"CAR",89.2
2022,11,"CHI",81.3
2022,11,"CLE",83.7
2022,11,"LA",83.7
2022,11,"PHI",89.7
2022,11,"WAS",77.6
2022,11,"NYJ",84.8
2022,11,"LV",87
2022,11,"DAL",85.3
2022,11,"CIN",85.9
2022,11,"KC",89.2
2022,11,"DET",80
2022,11,"SF",83.5
2022,12,"BUF",82.2
2022,12,"NYG",75.5
2022,12,"NE",89.6
2022,12,"CIN",85.3
2022,12,"BAL",77.1
2022,12,"DEN",66.2
2022,12,"TB",83.2
2022,12,"CHI",81.9
2022,12,"ATL",87.1
2022,12,"HOU",83.9
2022,12,"LV",87.7
2022,12,"LAC",76.9
2022,12,"LA",73.6
2022,12,"NO",79.3
2022,12,"GB",79
2022,12,"PIT",87.1
2022,13,"BUF",82.2
2022,13,"DEN",67.2
2022,13,"NYJ",82.7
2022,13,"CLE",83.6
2022,13,"PIT",89.5
2022,13,"TEN",83
2022,13,"JAX",88.8
2022,13,"GB",78.4
2022,13,"WAS",81.8
2022,13,"MIA",81.9
2022,13,"SEA",88.5
2022,13,"LAC",72.5
2022,13,"KC",90.2
2022,13,"IND",88.4
2022,13,"NO",82.1
2022,14,"LV",86.2
2022,14,"BAL",79.3
2022,14,"PHI",89.9
2022,14,"JAX",89.4
2022,14,"NYJ",86.5
2022,14,"MIN",88.8
2022,14,"CLE",83.8
2022,14,"HOU",81.8
2022,14,"KC",91.6
2022,14,"TB",82.5
2022,14,"CAR",89.9
2022,14,"MIA",81.8
2022,14,"NE",87.5
2022,15,"SF",84.6
2022,15,"IND",90.7
2022,15,"BAL",81.6
2022,15,"MIA",80
2022,15,"DAL",86.6
2022,15,"PHI",90.5
2022,15,"ATL",86.7
2022,15,"DET",85.1
2022,15,"ARI",74.9
2022,15,"NE",84.3
2022,15,"CIN",88.8
2022,15,"TEN",73.3
2022,15,"NYG",80.4
2022,15,"KC",92.1
2022,15,"PIT",88.4
2022,15,"GB",83.9
2022,16,"JAX",86.5
2022,16,"CIN",88.2
2022,16,"HOU",75.7
2022,16,"ATL",86.8
2022,16,"NO",80.1
2022,16,"SEA",84.6
2022,16,"BUF",84.2
2022,16,"NYG",80.8
2022,16,"DET",85.6
2022,16,"WAS",82.9
2022,16,"PHI",88.6
2022,16,"GB",83.9
2022,16,"DEN",64.1
2022,16,"TB",82.3
2022,16,"LAC",78.4
2022,16,"LV",85.6
2022,17,"DAL",86.4
2022,17,"MIA",78.7
2022,17,"CLE",83.1
2022,17,"CAR",88.3
2022,17,"IND",84.9
2022,17,"DEN",68.1
2022,17,"CHI",83
2022,17,"JAX",88.9
2022,17,"NO",84.3
2022,17,"ARI",68.2
2022,17,"SF",87.5
2022,17,"LA",69.8
